State,Park ,Recreation Visitors,Percent Change,ConcessionerLodgingOvernights,ConcessionerLodgingOvernightsPercentChange,ConcessionerCampingOvernights,ConcessionerCampingOvernightsPercentChange,TentOvernights,TentOvernightPercentChange,RecreationVehicleOvernights,RecreationVehicleOvernightsPercentChange,BackcountryOvernights,BackcountryOvernightsPercentChange
New Jersey,Delaware Water Gap NRA,"2,888,656",20.55%,0,,0,,0,,0,,"10,692",-14.63%
New Jersey,Gateway NRA,"2,022,046",26.20%,0,,0,,0,-100.00%,0,,0,
New Jersey,Morristown NHP,"262,361",-3.31%,0,,0,,0,,0,,0,
New Jersey,Paterson Great Falls NHP,"339,768",22.67%,0,,0,,0,,0,,0,
New Jersey,Thomas Edison NHP,"7,605",-81.99%,0,,0,,0,,0,,0,
New Mexico,Aztec Ruins NM,"30,223",-52.61%,0,,0,,0,,0,,0,
New Mexico,Bandelier NM,"94,948",-52.70%,0,,0,,"1,836",-61.85%,"2,906",-53.31%,232,-60.34%
New Mexico,Capulin Volcano NM,"63,335",-22.40%,0,,0,,0,,0,,0,
New Mexico,Carlsbad Caverns NP,"183,835",-58.28%,0,,0,,0,,0,,116,-48.44%
New Mexico,Chaco Culture NHP,"8,231",-82.61%,0,,0,,218,-97.49%,554,-91.36%,0,
New Mexico,El Malpais NM,"139,336",-12.33%,0,,0,,0,,0,,0,
New Mexico,El Morro NM,"36,328",-47.25%,0,,0,,"1,263",-49.72%,941,-46.75%,0,
New Mexico,Fort Union NM,"5,334",-51.79%,0,,0,,0,,0,,0,
New Mexico,Gila Cliff Dwellings NM,"31,645",-52.49%,0,,0,,0,,0,,0,
New Mexico,Manhattan Project NHP,"1,517",-93.04%,0,,0,,0,,0,,0,
New Mexico,Pecos NHP,"36,695",-16.29%,0,,0,,0,,0,,0,
New Mexico,Petroglyph NM,"356,492",21.27%,0,,0,,0,,0,,0,
New Mexico,Salinas Pueblo Missions NM,"26,982",-14.81%,0,,0,,0,,0,,0,
New Mexico,Valles Caldera NPRES,"30,434",,0,,0,,0,,0,,218,
New Mexico,White Sands NP,"415,383",-31.77%,0,,0,,0,,0,,808,-80.96%
New York,African Burial Ground NM,"7,908",-83.33%,0,,0,,0,,0,,0,
New York,Castle Clinton NM,"633,793",-85.47%,0,,0,,0,,0,,0,
New York,Eleanor Roosevelt NHS,"9,575",-79.90%,0,,0,,0,,0,,0,
New York,Federal Hall NMEM,"13,822",-94.78%,0,,0,,0,,0,,0,
New York,Fire Island NS,"250,449",-36.00%,0,,"5,790",8.94%,0,,0,,"3,714",16.14%
New York,Fort Stanwix NM,"24,134",-75.22%,0,,0,,0,,0,,0,
New York,Gateway NRA,"6,382,680",-18.21%,0,,0,,0,-100.00%,0,-100.00%,0,
New York,General Grant NMEM,"24,475",-78.50%,0,,0,,0,,0,,0,
New York,Governors Island NM,"102,915",-82.59%,0,,0,,0,,0,,0,
New York,Hamilton Grange NMEM,"23,015",-67.70%,0,,0,,0,,0,,0,
New York,Home of Franklin D. Roosevelt NHS,"40,091",-72.75%,0,,0,,0,,0,,0,
New York,Martin Van Buren NHS,"11,480",-44.33%,0,,0,,0,,0,,0,
New York,Sagamore Hill NHS,"105,289",186.59%,0,,0,,0,,0,,0,
New York,Saint Paul's Church NHS,"5,968",-67.80%,0,,0,,0,,0,,0,
New York,Saratoga NHP,"73,825",-49.13%,0,,0,,0,,0,,0,
New York,Statue of Liberty NM,"576,396",-86.41%,0,,0,,0,,0,,0,
New York,Stonewall NM,0,-100.00%,0,,0,,0,,0,,0,
New York,Theodore Roosevelt Birthplace NHS,"4,984",-80.81%,0,,0,,0,,0,,0,
New York,Theodore Roosevelt Inaugural NHS,"5,098",-81.11%,0,,0,,0,,0,,0,
New York,Upper Delaware S&RR,"125,099",16.08%,0,,0,,0,,0,,0,
New York,Vanderbilt Mansion NHS,"217,231",-33.53%,0,,0,,0,,0,,0,
New York,Women's Rights NHP,"8,237",-78.91%,0,,0,,0,,0,,0,
North Carolina,Blue Ridge PKWY,"8,741,681",-5.85%,"14,332",-28.30%,0,,"19,866",-63.77%,"18,577",-47.27%,507,-26.63%
North Carolina,Cape Hatteras NS,"2,648,522",1.61%,0,,0,,"44,433",0.45%,"52,886",16.48%,0,
North Carolina,Cape Lookout NS,"488,331",7.20%,0,,0,,0,,0,,"4,526",103.05%
